,biomass_site,Plant_ID,Dji
660,1191,22,19.08459654
661,1191,60,96.31271847
662,1191,61,96.58543154
663,1191,77,59.97993371
664,1191,99,85.96964263
665,1192,22,81.89552111
666,1192,33,80.96706921
667,1192,54,77.32292964
668,1192,60,78.77428498
669,1192,61,79.16280375
670,1192,77,99.49219866
671,1193,2,67.16973897
672,1193,14,90.29095434
673,1193,15,83.62937852
674,1193,27,88.15698797
675,1193,34,70.9273966
676,1193,43,97.66022387
677,1193,66,79.90783813
678,1193,99,94.59661101
679,1193,108,98.33686689
680,1194,73,86.45952763
681,1194,89,85.32464076
682,1196,2,63.79723405
683,1196,14,39.2187296
684,1196,15,74.93783499
685,1196,22,75.59220081
686,1196,34,45.30291697
687,1196,66,75.19571297
688,1196,77,94.2122163
689,1196,78,99.88957245
690,1196,99,37.83569057
691,1199,3,84.89032531
692,1199,14,82.04276604
693,1199,22,16.00116431
694,1199,77,58.1178933
695,1199,78,99.56746778
696,1199,99,76.40736378
697,1200,2,73.30945767
698,1200,14,99.00720559
699,1200,15,89.05775377
700,1200,27,87.93766079
701,1200,34,78.95600234
702,1200,43,98.59887703
703,1200,66,85.13164681
704,1201,73,86.66986554
705,1201,89,83.89801581
706,1203,22,71.730191
707,1203,33,82.40860807
708,1203,54,78.64029739
709,1203,60,76.15832437
710,1203,61,76.5451617
711,1203,77,90.69918323
712,1204,2,57.22646992
713,1204,14,39.12594854
714,1204,15,69.97066145
715,1204,22,85.23191345
716,1204,34,39.97516505
717,1204,66,69.7080271
718,1204,99,39.23480221
719,1207,73,88.05884489
720,1207,89,83.68871978
721,1208,2,80.27016572
722,1208,15,95.26377361
723,1208,27,88.88830123
724,1208,34,87.42910011
725,1208,52,98.83911862
726,1208,66,91.19234644
727,1209,3,84.08834063
728,1209,14,72.60256678
729,1209,22,18.85466919
730,1209,34,92.3167026
731,1209,77,58.01238205
732,1209,78,95.08853663
733,1209,99,67.03307633
734,1210,2,51.82529276
735,1210,14,41.59136619
736,1210,15,66.19609327
737,1210,22,94.97968651
738,1210,34,36.74322714
739,1210,66,65.34445494
740,1210,99,43.05204319
741,1210,108,97.98364817
742,1211,22,61.66580695
743,1211,33,85.00570278
744,1211,54,81.17559294
745,1211,60,74.8342722
746,1211,61,75.21271619
747,1211,77,82.29286742
748,1213,73,90.59753288
